n,sd,variability,zcorr,zerr1,zerr2,tcorr,terr1,terr2,total
12,10.000000,3.000000,10000,0,0,10000,0,0,10000
12,8.000000,7.000000,10000,0,0,10000,0,0,10000
12,8.000000,5.000000,10000,0,0,10000,0,0,10000
12,8.000000,9.000000,10000,0,0,10000,0,0,10000
12,10.000000,9.000000,10000,0,0,10000,0,0,10000
12,8.000000,1.000000,10000,0,0,10000,0,0,10000
12,10.000000,7.000000,10000,0,0,10000,0,0,10000
12,10.000000,5.000000,10000,0,0,10000,0,0,10000
12,12.000000,5.000000,10000,0,0,10000,0,0,10000
12,12.000000,7.000000,10000,0,0,10000,0,0,10000
12,12.000000,3.000000,10000,0,0,10000,0,0,10000
12,14.000000,9.000000,10000,0,0,10000,0,0,10000
12,12.000000,9.000000,10000,0,0,10000,0,0,10000
12,12.000000,1.000000,10000,0,0,10000,0,0,10000
12,14.000000,5.000000,10000,0,0,10000,0,0,10000
12,14.000000,7.000000,10000,0,0,10000,0,0,10000
12,14.000000,3.000000,10000,0,0,10000,0,0,10000
12,14.000000,1.000000,10000,0,0,10000,0,0,10000
13,8.000000,5.000000,10000,0,0,10000,0,0,10000
13,6.000000,3.000000,10000,0,0,10000,0,0,10000
13,6.000000,7.000000,10000,0,0,10000,0,0,10000
13,8.000000,7.000000,10000,0,0,10000,0,0,10000
13,6.000000,1.000000,10000,0,0,10000,0,0,10000
13,8.000000,9.000000,10000,0,0,10000,0,0,10000
13,8.000000,1.000000,10000,0,0,10000,0,0,10000
13,6.000000,9.000000,10000,0,0,10000,0,0,10000
13,8.000000,3.000000,10000,0,0,10000,0,0,10000
13,6.000000,5.000000,10000,0,0,10000,0,0,10000
13,10.000000,1.000000,10000,0,0,10000,0,0,10000
13,12.000000,5.000000,10000,0,0,10000,0,0,10000
13,10.000000,9.000000,10000,0,0,10000,0,0,10000
13,12.000000,9.000000,10000,0,0,10000,0,0,10000
13,12.000000,7.000000,10000,0,0,10000,0,0,10000
13,10.000000,5.000000,10000,0,0,10000,0,0,10000
13,10.000000,7.000000,10000,0,0,10000,0,0,10000
13,10.000000,3.000000,10000,0,0,10000,0,0,10000
13,12.000000,3.000000,10000,0,0,10000,0,0,10000
13,12.000000,1.000000,10000,0,0,10000,0,0,10000
13,14.000000,1.000000,10000,0,0,10000,0,0,10000
13,14.000000,5.000000,10000,0,0,10000,0,0,10000
13,14.000000,3.000000,10000,0,0,10000,0,0,10000
13,14.000000,9.000000,10000,0,0,10000,0,0,10000
14,6.000000,3.000000,10000,0,0,10000,0,0,10000
